iter	Passed	Remaining
208	322	1219
209	323	1216
210	324	1212
211	324	1207
212	325	1202
213	326	1198
214	326	1193
215	327	1189
216	328	1184
217	328	1180
218	329	1175
219	330	1171
220	331	1167
221	331	1162
222	332	1158
223	333	1154
224	333	1150
225	334	1146
226	335	1142
227	336	1138
228	337	1135
229	338	1132
230	338	1128
231	340	1126
232	340	1122
233	341	1118
234	342	1114
235	342	1110
236	343	1106
237	344	1102
238	344	1098
239	345	1094
240	346	1090
241	346	1086
242	347	1082
243	348	1079
244	349	1075
245	350	1073
246	351	1070
247	352	1067
248	352	1064
249	353	1060
250	354	1056
251	354	1053
252	355	1049
253	356	1045
254	356	1042
255	357	1038
256	358	1035
257	358	1031
258	359	1028
259	360	1025
260	360	1022
261	361	1018
262	362	1016
263	363	1013
264	364	1010
265	366	1010
266	367	1009
267	368	1006
268	369	1003
269	370	1000
270	370	997
271	371	995
272	372	992
273	373	989
274	374	986
275	374	983
276	375	980
277	376	978
278	377	976
279	378	974
280	381	975
281	382	974
282	383	972
283	384	970
284	385	967
285	386	965
286	387	963
287	388	960
288	389	958
289	391	957
290	392	955
291	392	952
292	394	951
293	395	950
294	397	948
295	397	946
296	398	943
297	399	941
298	400	938
299	401	935
300	402	934
301	403	931
302	404	929
303	405	927
304	406	925
305	406	923
306	408	921
307	410	921
308	411	919
309	411	916
310	412	914
311	413	911
312	414	909
313	415	906
314	416	904
315	416	902
316	417	900
317	418	898
318	419	896
319	420	893
320	421	891
321	422	889
322	424	890
323	425	888
324	426	886
325	427	884
326	428	881
327	429	879
328	430	877
329	431	875
330	432	873
331	433	871
332	433	869
333	434	866
334	435	864
335	436	862
336	437	860
337	440	863
338	441	861
339	443	860
340	443	857
341	444	856
342	445	853
343	446	851
344	447	849
345	448	847
346	449	845
347	450	843
348	450	840
349	451	838
350	453	838
351	455	837
352	456	836
353	456	833
354	457	831
355	458	829
356	459	827
357	460	824
358	460	822
359	461	820
360	462	818
361	462	815
362	463	813
363	464	811
364	465	809
365	465	807
366	466	805
367	467	803
368	469	802
369	469	799
370	470	797
371	471	795
372	472	794
373	473	792
374	474	790
375	475	788
376	475	786
377	476	784
378	477	782
379	478	780
380	479	778
381	479	776
382	480	774
383	482	774
384	484	773
385	485	771
386	486	769
387	487	768
388	488	767
389	489	765
390	490	764
391	493	765
392	494	764
393	495	762
394	496	760
395	497	758
396	499	758
397	499	756
398	500	753
399	501	752
400	502	750
401	503	748
402	504	746
403	504	744
404	505	742
405	506	740
406	507	739
407	508	737
408	508	735
409	509	733
410	510	731
411	512	731
412	514	731
413	515	729
414	516	728
415	517	726
416	518	724
417	518	722
418	519	720
419	520	718
420	521	716
421	522	715
422	523	713
423	523	711
424	524	709
425	525	708
426	526	706
427	528	706
428	530	706
429	531	704
430	532	703
431	533	701
432	534	699
433	535	697
434	535	696
435	536	694
436	537	692
437	538	690
438	539	688
439	539	687
440	540	685
441	544	687
442	545	686
443	546	684
444	547	683
445	548	681
446	549	679
447	550	678
448	551	676
449	552	675
450	553	673
451	554	671
452	556	671
453	558	671
454	559	669
455	559	667
456	560	665
457	561	664
458	561	662
459	562	660
460	563	658
461	564	656
462	564	655
463	565	653
464	566	651
465	567	649
466	567	648
467	568	646
468	569	644
469	570	643
470	571	642
471	573	641
472	574	639
473	574	637
474	575	635
475	576	634
476	576	632
477	577	630
478	578	628
479	578	626
480	579	625
481	580	623
482	580	621
483	581	619
484	582	618
485	582	616
486	583	614
487	584	613
488	585	611
489	585	609
490	586	608
491	587	606
492	588	605
493	589	603
494	589	601
495	590	600
496	591	598
497	591	596
498	592	594
499	593	593
500	593	591
501	594	589
502	595	588
503	596	586
504	596	584
505	597	583
506	598	581
507	598	579
508	599	578
509	600	576
510	601	575
511	602	574
512	603	572
513	603	570
514	604	569
515	605	567
516	605	565
517	606	564
518	607	562
519	607	561
520	608	559
521	609	557
522	609	556
523	610	554
524	611	552
525	611	551
526	612	549
527	613	548
528	613	546
529	614	545
530	615	543
531	616	542
532	617	541
533	618	539
534	618	537
535	619	536
536	620	534
537	621	533
538	621	531
539	622	530
540	623	528
541	623	527
542	624	525
543	625	524
544	626	522
545	626	521
546	627	519
547	628	518
548	628	516
549	629	515
550	630	513
551	631	512
552	632	511
553	633	509
554	633	508
555	634	506
556	635	505
557	635	503
558	636	502
559	637	500
560	637	499
561	638	497
562	639	496
563	639	494
564	640	493
565	641	491
566	641	490
567	642	488
568	643	487
569	644	486
570	645	485
571	647	484
572	648	483
573	648	481
574	649	480
575	650	478
576	650	477
577	651	475
578	652	474
579	653	472
580	653	471
581	654	469
582	655	468
583	655	467
584	656	465
585	657	464
586	657	462
587	658	461
588	659	459
589	659	458
590	660	457
591	661	455
592	662	454
593	663	453
594	663	451
595	664	450
596	665	448
597	665	447
598	666	446
599	666	444
600	667	443
601	668	441
602	668	440
603	669	438
604	670	437
605	670	436
606	671	434
607	672	433
608	673	432
609	673	430
610	674	429
611	675	428
612	676	426
613	677	425
614	677	424
615	678	422
616	679	421
617	679	420
618	680	418
619	680	417
620	681	416
621	682	414
622	682	413
623	683	411
624	684	410
625	685	409
626	685	407
627	686	406
628	687	405
629	687	403
630	688	402
631	689	401
632	689	399
633	690	398
634	693	398
635	693	397
636	694	395
637	695	394
638	696	393
639	696	391
640	697	390
641	698	389
642	699	388
643	699	386
644	700	385
645	701	384
646	702	383
647	702	381
648	703	380
649	704	379
650	704	377
651	705	376
652	706	375
653	707	374
654	708	373
655	708	371
656	709	370
657	710	369
658	710	367
659	711	366
660	712	365
661	712	363
662	713	362
663	714	361
664	715	360
665	715	358
666	716	357
667	717	356
668	717	355
669	718	353
670	719	352
671	720	351
672	721	350
673	722	349
674	723	348
675	723	346
676	724	345
677	725	344
678	726	343
679	727	342
680	728	341
681	728	339
682	729	338
683	730	337
684	730	336
685	731	334
686	732	333
687	732	332
688	733	331
689	734	329
690	735	328
691	736	327
692	736	326
693	737	325
694	738	324
695	739	322
696	739	321
697	740	320
698	741	319
699	742	318
700	742	316
701	743	315
702	744	314
703	744	313
704	745	311
705	746	310
706	746	309
707	747	308
708	748	307
709	748	305
710	749	304
711	750	303
712	751	302
713	752	301
714	752	300
715	753	298
716	754	297
717	754	296
718	755	295
719	756	294
720	757	292
721	757	291
722	758	290
723	759	289
724	759	288
725	760	287
726	761	285
727	761	284
728	762	283
729	763	282
730	764	281
731	764	280
732	765	278
733	766	277
734	767	276
735	767	275
736	768	274
737	769	273
738	770	271
739	770	270
740	771	269
741	772	268
742	773	267
743	774	266
744	774	265
745	775	264
746	776	263
747	777	261
748	778	260
749	778	259
750	779	258
751	780	257
752	781	256
753	781	255
754	782	253
755	783	252
756	784	251
757	784	250
758	785	249
759	786	248
760	786	247
761	787	245
762	788	244
763	788	243
764	789	242
765	789	241
766	790	240
767	791	239
768	791	237
769	792	236
770	793	235
771	794	234
772	795	233
773	796	232
774	796	231
775	797	230
776	798	229
777	798	227
778	799	226
779	800	225
780	800	224
781	801	223
782	802	222
783	802	221
784	803	220
785	804	218
786	805	217
787	805	216
788	806	215
789	807	214
790	807	213
791	808	212
792	810	211
793	810	210
794	811	209
795	812	208
796	813	207
797	813	206
798	814	204
799	815	203
800	815	202
801	816	201
802	817	200
803	817	199
804	818	198
805	819	197
806	820	196
807	821	195
808	821	194
809	822	192
810	823	191
811	824	190
812	825	189
813	826	188
814	826	187
815	827	186
816	828	185
817	828	184
818	829	183
819	830	182
820	830	181
821	831	180
822	832	179
823	832	177
824	833	176
825	834	175
826	835	174
827	835	173
828	836	172
829	837	171
830	837	170
831	838	169
832	839	168
833	840	167
834	841	166
835	842	165
836	842	164
837	843	163
838	844	161
839	845	160
840	845	159
841	846	158
842	847	157
843	847	156
844	848	155
845	849	154
846	849	153
847	850	152
848	851	151
849	851	150
850	852	149
851	853	148
852	854	147
853	855	146
854	856	145
855	856	144
856	857	143
857	858	142
858	858	140
859	859	139
860	860	138
861	860	137
862	861	136
863	862	135
864	862	134
865	863	133
866	864	132
867	864	131
868	865	130
869	866	129
870	867	128
871	867	127
872	868	126
873	869	125
874	870	124
875	871	123
876	871	122
877	872	121
878	873	120
879	873	119
880	874	118
881	875	117
882	875	116
883	876	114
884	877	113
885	877	112
886	878	111
887	879	110
888	879	109
889	880	108
890	881	107
891	881	106
892	882	105
893	883	104
894	884	103
895	885	102
896	886	101
897	886	100
898	887	99
899	888	98
900	888	97
901	889	96
902	890	95
903	890	94
904	891	93
905	892	92
906	892	91
907	893	90
908	894	89
909	895	88
910	895	87
911	896	86
912	897	85
913	898	84
914	899	83
915	900	82
916	901	81
917	902	80
918	902	79
919	903	78
920	904	77
921	904	76
922	905	75
923	906	74
924	906	73
925	907	72
926	908	71
927	908	70
928	909	69
929	910	68
930	910	67
931	911	66
932	912	65
933	913	64
934	914	63
935	915	62
936	915	61
937	916	60
938	917	59
939	917	58
940	918	57
941	919	56
942	919	55
943	920	54
944	921	53
945	921	52
946	922	51
947	923	50
948	924	49
949	924	48
950	925	47
951	926	46
952	927	45
953	928	44
954	929	43
955	929	42
956	930	41
957	930	40
958	931	39
959	932	38
960	932	37
961	933	36
962	934	35
963	935	34
964	936	33
965	937	32
966	937	32
967	938	31
968	939	30
969	940	29
970	941	28
971	942	27
972	943	26
973	944	25
974	945	24
975	946	23
976	946	22
977	947	21
978	948	20
979	949	19
980	950	18
981	951	17
982	952	16
983	952	15
984	953	14
985	954	13
986	954	12
987	955	11
988	956	10
989	957	9
990	958	8
991	959	7
992	959	6
993	960	5
994	961	4
995	961	3
996	962	2
997	963	1
998	964	0
999	964	0
